Match;Team_Name;Result;Player_Name;Hero_Pick;Emblem;Kill;Player_Role
1;Geek Fam;Victory;Reyy;Ling;Assasin;4;Jungler
1;Geek Fam;Victory;Luke;Barats;Common;1;Explane
1;Geek Fam;Victory;Aboy;Faramis;Mage;2;Midlane
1;Geek Fam;Victory;Baloyskie;Helcurt;Assasin;6;Roamer
1;Geek Fam;Victory;Caderaa;Harith;Mage;5;Goldlane
1;RRQ Hoshi;Defeat;Vyn;Minotaur;Tank;0;Roamer
1;RRQ Hoshi;Defeat;Clayyy;Valentina;Mage;0;Midlane
1;RRQ Hoshi;Defeat;Skylar;Roger;Assasin;2;Goldlane
1;RRQ Hoshi;Defeat;Donn;Esmeralda;Support;0;Explane
1;RRQ Hoshi;Defeat;1rrad;Baxia;Tank;2;Jungler
2;Geek Fam;Victory;Reyy;Baxia;Tank;2;Jungler
2;Geek Fam;Victory;Luke;Ruby;Fighter;1;Explane
2;Geek Fam;Victory;Aboy;Angela;Mage;3;Midlane
2;Geek Fam;Victory;Baloyskie;Helcurt;Assasin;7;Roamer
2;Geek Fam;Victory;Caderaa;Harith;Mage;2;Goldlane
2;RRQ Hoshi;Defeat;Vyn;Mathilda;Support;2;Roamer
2;RRQ Hoshi;Defeat;Clayyy;Luo Yi;Mage;2;Midlane
2;RRQ Hoshi;Defeat;Skylar;Karrie;Common;0;Goldlane
2;RRQ Hoshi;Defeat;Donn;Thamuz;Fighter;1;Explane
2;RRQ Hoshi;Defeat;1rrad;Fredrinn;Tank;0;Jungler
3;Geek Fam;Defeat;Reyy;Barats;Tank;1;Jungler
3;Geek Fam;Defeat;Luke;Yu Zhong;Fighter;3;Explane
3;Geek Fam;Defeat;Aboy;Luo Yi;Mage;5;Midlane
3;Geek Fam;Defeat;Baloyskie;Mathilda;Support;2;Roamer
3;Geek Fam;Defeat;Caderaa;Natan;Mage;4;Goldlane
3;RRQ Hoshi;Victory;Vyn;Chip;Tank;2;Roamer
3;RRQ Hoshi;Victory;Clayyy;Vexana;Mage;5;Midlane
3;RRQ Hoshi;Victory;Skylar;Roger;Assasin;6;Goldlane
3;RRQ Hoshi;Victory;Donn;Esmeralda;Support;5;Explane
3;RRQ Hoshi;Victory;1rrad;Fredrinn;Tank;1;Jungler
4;Geek Fam;Defeat;Reyy;Baxia;Tank;7;Jungler
4;Geek Fam;Defeat;Luke;Lapu-Lapu;Fighter;3;Explane
4;Geek Fam;Defeat;Aboy;Faramis;Mage;2;Midlane
4;Geek Fam;Defeat;Baloyskie;Franco;Support;2;Roamer
4;Geek Fam;Defeat;Caderaa;Karrie;Common;7;Goldlane
4;RRQ Hoshi;Victory;Vyn;Minotaur;Tank;1;Roamer
4;RRQ Hoshi;Victory;Clayyy;Luo Yi;Mage;9;Midlane
4;RRQ Hoshi;Victory;Skylar;Roger;Assasin;7;Goldlane
4;RRQ Hoshi;Victory;Donn;Arlott;Common;0;Explane
4;RRQ Hoshi;Victory;1rrad;Fredrinn;Tank;6;Jungler
5;Geek Fam;Victory;Reyy;Fredrinn;Tank;4;Jungler
5;Geek Fam;Victory;Luke;Ruby;Fighter;1;Explane
5;Geek Fam;Victory;Aboy;Vexana;Mage;4;Midlane
5;Geek Fam;Victory;Baloyskie;Floryn;Support;2;Roamer
5;Geek Fam;Victory;Caderaa;Karrie;Common;3;Goldlane
5;RRQ Hoshi;Defeat;Vyn;Arlott;Tank;2;Roamer
5;RRQ Hoshi;Defeat;Clayyy;Luo Yi;Mage;1;Midlane
5;RRQ Hoshi;Defeat;Skylar;Roger;Assasin;5;Goldlane
5;RRQ Hoshi;Defeat;Donn;Yu Zhong;Fighter;1;Explane
5;RRQ Hoshi;Defeat;1rrad;Akai;Tank;1;Jungler
6;Liquid Aura;Defeat;Yehezkiel;Novaria;Mage;2;Midlane
6;Liquid Aura;Defeat;Aran;Benedetta;Fighter;6;Explane
6;Liquid Aura;Defeat;Gugunnn;Baxia;Tank;1;Jungler
6;Liquid Aura;Defeat;Yawi;Grock;Common;0;Roamer
6;Liquid Aura;Defeat;Kabuki;Karrie;Common;9;Goldlane
6;Evos Glory;Victory;Clawkun;Luo Yi;Mage;4;Midlane
6;Evos Glory;Victory;Fluffy;Yu Zhong;Fighter;5;Explane
6;Evos Glory;Victory;Branz;Roger;Assasin;10;Goldlane
6;Evos Glory;Victory;Dreams;Tigreal;Tank;0;Roamer
6;Evos Glory;Victory;Anavel;Akai;Tank;1;Jungler
7;Liquid Aura;Defeat;Yehezkiel;Vexana;Mage;2;Midlane
7;Liquid Aura;Defeat;Aran;Cici;Fighter;4;Explane
7;Liquid Aura;Defeat;Gugunnn;Baxia;Tank;1;Jungler
7;Liquid Aura;Defeat;Yawi;Grock;Common;0;Roamer
7;Liquid Aura;Defeat;Kabuki;Claude;Common;4;Goldlane
7;Evos Glory;Victory;Clawkun;Luo Yi;Mage;2;Midlane
7;Evos Glory;Victory;Fluffy;Terizla;Fighter;0;Explane
7;Evos Glory;Victory;Branz;Roger;Assasin;5;Goldlane
7;Evos Glory;Victory;Dreams;Minotaur;Tank;0;Roamer
7;Evos Glory;Victory;Anavel;Alpha;Fighter;3;Jungler
8;Liquid Aura;Defeat;Yehezkiel;Novaria;Mage;0;Midlane
8;Liquid Aura;Defeat;Aran;Cici;Fighter;0;Explane
8;Liquid Aura;Defeat;Gugunnn;Baxia;Tank;0;Jungler
8;Liquid Aura;Defeat;Yawi;Grock;Common;0;Roamer
8;Liquid Aura;Defeat;Kabuki;Roger;Assasin;4;Goldlane
8;Evos Glory;Victory;Clawkun;Luo Yi;Mage;0;Midlane
8;Evos Glory;Victory;Fluffy;Yu Zhong;Fighter;1;Explane
8;Evos Glory;Victory;Branz;Claude;Common;2;Goldlane
8;Evos Glory;Victory;Dreams;Tigreal;Tank;1;Roamer
8;Evos Glory;Victory;Anavel;Nolan;Assasin;5;Jungler
9;Fnatic Onic;Victory;Kairi;Baxia;Tank;5;Jungler
9;Fnatic Onic;Victory;Sanz;Kadita;Mage;6;Midlane
9;Fnatic Onic;Victory;Cw;Moskov;Common;6;Goldlane
9;Fnatic Onic;Victory;Kiboy;Chip;Tank;1;Roamer
9;Fnatic Onic;Victory;Lutpiii;Cici;Fighter;2;Explane
9;Geek Fam;Defeat;Reyy;Fredrinn;Tank;3;Jungler
9;Geek Fam;Defeat;Luke;Xborg;Tank;4;Explane
9;Geek Fam;Defeat;Aboy;Luo Yi;Mage;2;Midlane
9;Geek Fam;Defeat;Baloyskie;Ruby;Tank;3;Roamer
9;Geek Fam;Defeat;Caderaa;Natan;Mage;7;Goldlane
10;Fnatic Onic;Defeat;Kairi;Baxia;Tank;3;Jungler
10;Fnatic Onic;Defeat;Sanz;Pharsa;Mage;2;Midlane
10;Fnatic Onic;Defeat;Cw;Roger;Assasin;12;Goldlane
10;Fnatic Onic;Defeat;Kiboy;Chip;Tank;0;Roamer
10;Fnatic Onic;Defeat;Lutpiii;Benedetta;Fighter;2;Explane
10;Geek Fam;Victory;Reyy;Fredrinn;Tank;4;Jungler
10;Geek Fam;Victory;Luke;Masha;Assasin;4;Explane
10;Geek Fam;Victory;Aboy;Novaria;Mage;2;Midlane
10;Geek Fam;Victory;Baloyskie;Ruby;Tank;0;Roamer
10;Geek Fam;Victory;Caderaa;Moskov;Common;8;Goldlane
11;Fnatic Onic;Defeat;Kairi;Akai;Tank;2;Jungler
11;Fnatic Onic;Defeat;Sanz;Faramis;Mage;2;Midlane
11;Fnatic Onic;Defeat;Cw;Natan;Mage;0;Goldlane
11;Fnatic Onic;Defeat;Kiboy;Mathilda;Support;0;Roamer
11;Fnatic Onic;Defeat;Lutpiii;Cici;Fighter;0;Explane
11;Geek Fam;Victory;Reyy;Fredrinn;Tank;3;Jungler
11;Geek Fam;Victory;Luke;Ruby;Fighter;2;Explane
11;Geek Fam;Victory;Aboy;Novaria;Mage;2;Midlane
11;Geek Fam;Victory;Baloyskie;Floryn;Support;1;Roamer
11;Geek Fam;Victory;Caderaa;Claude;Common;4;Goldlane
12;Fnatic Onic;Victory;Kairi;Fanny;Assasin;8;Jungler
12;Fnatic Onic;Victory;Sanz;Luo Yi;Mage;6;Midlane
12;Fnatic Onic;Victory;Cw;Karrie;Common;6;Goldlane
12;Fnatic Onic;Victory;Kiboy;Ruby;Tank;1;Roamer
12;Fnatic Onic;Victory;Lutpiii;Uranus;Common;0;Explane
12;Geek Fam;Defeat;Reyy;Barats;Tank;1;Jungler
12;Geek Fam;Defeat;Luke;Xborg;Fighter;4;Explane
12;Geek Fam;Defeat;Aboy;Novaria;Mage;3;Midlane
12;Geek Fam;Defeat;Baloyskie;Franco;Support;1;Roamer
12;Geek Fam;Defeat;Caderaa;Claude;Common;2;Goldlane
13;Fnatic Onic;Victory;Kairi;Baxia;Tank;3;Jungler
13;Fnatic Onic;Victory;Sanz;Pharsa;Mage;3;Midlane
13;Fnatic Onic;Victory;Cw;Claude;Common;1;Goldlane
13;Fnatic Onic;Victory;Kiboy;Edith;Tank;1;Roamer
13;Fnatic Onic;Victory;Lutpiii;Xborg;Tank;0;Explane
13;Geek Fam;Defeat;Reyy;Barats;Tank;1;Jungler
13;Geek Fam;Defeat;Luke;Ruby;Fighter;0;Explane
13;Geek Fam;Defeat;Aboy;Faramis;Mage;0;Midlane
13;Geek Fam;Defeat;Baloyskie;Floryn;Support;0;Roamer
13;Geek Fam;Defeat;Caderaa;Natan;Mage;3;Goldlane
14;Bigetron Alpha;Defeat;Moreno;Valentina;Mage;0;Midlane
14;Bigetron Alpha;Defeat;Kyy;Franco;Support;0;Roamer
14;Bigetron Alpha;Defeat;Super Kenn;Fredrinn;Tank;3;Jungler
14;Bigetron Alpha;Defeat;Emann;Natan;Mage;1;Goldlane
14;Bigetron Alpha;Defeat;Xorizo;Cici;Fighter;1;Explane
14;Evos Glory;Victory;Clawkun;Novaria;Mage;4;Midlane
14;Evos Glory;Victory;Fluffy;Yu Zhong;Fighter;1;Explane
14;Evos Glory;Victory;Branz;Harith;Mage;10;Goldlane
14;Evos Glory;Victory;Dreams;Minotaur;Tank;1;Roamer
14;Evos Glory;Victory;Anavel;Baxia;Tank;1;Jungler
15;Bigetron Alpha;Defeat;Moreno;Pharsa;Mage;0;Midlane
15;Bigetron Alpha;Defeat;Kyy;Chip;Tank;0;Roamer
15;Bigetron Alpha;Defeat;Super Kenn;Roger;Assasin;4;Jungler
15;Bigetron Alpha;Defeat;Emann;Natan;Mage;2;Goldlane
15;Bigetron Alpha;Defeat;Xorizo;Paquito;Fighter;2;Explane
15;Evos Glory;Victory;Clawkun;Valentina;Mage;1;Midlane
15;Evos Glory;Victory;Fluffy;Terizla;Fighter;6;Explane
15;Evos Glory;Victory;Branz;Claude;Common;5;Goldlane
15;Evos Glory;Victory;Dreams;Edith;Tank;3;Roamer
15;Evos Glory;Victory;Anavel;Fredrinn;Tank;2;Jungler
16;Bigetron Alpha;Victory;Moreno;Cecilion;Mage;9;Midlane
16;Bigetron Alpha;Victory;Kyy;Chip;Tank;1;Roamer
16;Bigetron Alpha;Victory;Super Kenn;Baxia;Tank;1;Jungler
16;Bigetron Alpha;Victory;Emann;Roger;Common;4;Goldlane
16;Bigetron Alpha;Victory;Xorizo;Cici;Fighter;5;Explane
16;Evos Glory;Defeat;Clawkun;Novaria;Mage;1;Midlane
16;Evos Glory;Defeat;Fluffy;Paquito;Fighter;2;Explane
16;Evos Glory;Defeat;Branz;Claude;Common;2;Goldlane
16;Evos Glory;Defeat;Dreams;Carmilla;Tank;2;Roamer
16;Evos Glory;Defeat;Anavel;Fredrinn;Tank;3;Jungler
17;Bigetron Alpha;Defeat;Moreno;Cecilion;Mage;2;Midlane
17;Bigetron Alpha;Defeat;Kyy;Edith;Tank;2;Roamer
17;Bigetron Alpha;Defeat;Super Kenn;Baxia;Tank;2;Jungler
17;Bigetron Alpha;Defeat;Emann;Roger;Common;0;Goldlane
17;Bigetron Alpha;Defeat;Xorizo;Terizla;Fighter;0;Explane
17;Evos Glory;Victory;Clawkun;Valentina;Mage;0;Midlane
17;Evos Glory;Victory;Fluffy;Yu Zhong;Fighter;3;Explane
17;Evos Glory;Victory;Branz;Moskov;Common;3;Goldlane
17;Evos Glory;Victory;Dreams;Tigreal;Tank;0;Roamer
17;Evos Glory;Victory;Anavel;Alpha;Fighter;4;Jungler
18;Bigetron Alpha;Defeat;Moreno;Valentina;Mage;0;Midlane
18;Bigetron Alpha;Defeat;Kyy;Chip;Tank;1;Roamer
18;Bigetron Alpha;Defeat;Super Kenn;Barats;Tank;0;Jungler
18;Bigetron Alpha;Defeat;Emann;Karrie;Common;3;Goldlane
18;Bigetron Alpha;Defeat;Xorizo;Cici;Fighter;5;Explane
18;Geek Fam;Victory;Reyy;Fredrinn;Tank;2;Jungler
18;Geek Fam;Victory;Luke;Masha;Assasin;7;Explane
18;Geek Fam;Victory;Aboy;Luo Yi;Mage;7;Midlane
18;Geek Fam;Victory;Baloyskie;Kaja;Support;1;Roamer
18;Geek Fam;Victory;Caderaa;Moskov;Common;4;Goldlane
19;Bigetron Alpha;Defeat;Moreno;Luo Yi;Mage;6;Midlane
19;Bigetron Alpha;Defeat;Kyy;Arlott;Common;1;Roamer
19;Bigetron Alpha;Defeat;Super Kenn;Barats;Tank;2;Jungler
19;Bigetron Alpha;Defeat;Emann;Natan;Mage;1;Goldlane
19;Bigetron Alpha;Defeat;Xorizo;Esmeralda;Support;2;Explane
19;Geek Fam;Victory;Reyy;Fredrinn;Tank;1;Jungler
19;Geek Fam;Victory;Luke;Masha;Assasin;4;Explane
19;Geek Fam;Victory;Aboy;Faramis;Mage;5;Midlane
19;Geek Fam;Victory;Baloyskie;Kaja;Support;1;Roamer
19;Geek Fam;Victory;Caderaa;Moskov;Common;7;Goldlane
20;Bigetron Alpha;Defeat;Moreno;Novaria;Mage;5;Midlane
20;Bigetron Alpha;Defeat;Kyy;Minotaur;Tank;0;Roamer
20;Bigetron Alpha;Defeat;Super Kenn;Baxia;Tank;0;Jungler
20;Bigetron Alpha;Defeat;Emann;Moskov;Common;1;Goldlane
20;Bigetron Alpha;Defeat;Xorizo;Arlott;Common;1;Explane
20;Geek Fam;Victory;Reyy;Fredrinn;Tank;1;Jungler
20;Geek Fam;Victory;Luke;Lapu-Lapu;Fighter;3;Explane
20;Geek Fam;Victory;Aboy;Faramis;Mage;6;Midlane
20;Geek Fam;Victory;Baloyskie;Chip;Tank;1;Roamer
20;Geek Fam;Victory;Caderaa;Claude;Common;4;Goldlane
21;Fnatic Onic;Victory;Kairi;Julian;Mage;8;Jungler
21;Fnatic Onic;Victory;Sanz;Valentina;Mage;3;Midlane
21;Fnatic Onic;Victory;Cw;Roger;Assasin;3;Goldlane
21;Fnatic Onic;Victory;Kiboy;Grock;Tank;2;Roamer
21;Fnatic Onic;Victory;Lutpiii;Thamuz;Fighter;2;Explane
21;Evos Glory;Defeat;Clawkun;Luo Yi;Mage;0;Midlane
21;Evos Glory;Defeat;Fluffy;Barats;Common;0;Explane
21;Evos Glory;Defeat;Branz;Claude;Common;1;Goldlane
21;Evos Glory;Defeat;Dreams;Edith;Tank;1;Roamer
21;Evos Glory;Defeat;Anavel;Alpha;Fighter;3;Jungler
22;Fnatic Onic;Victory;Kairi;Baxia;Tank;3;Jungler
22;Fnatic Onic;Victory;Sanz;Kadita;Mage;3;Midlane
22;Fnatic Onic;Victory;Cw;Roger;Assasin;6;Goldlane
22;Fnatic Onic;Victory;Kiboy;Ruby;Tank;0;Roamer
22;Fnatic Onic;Victory;Lutpiii;Paquito;Fighter;2;Explane
22;Evos Glory;Defeat;Clawkun;Valentina;Mage;1;Midlane
22;Evos Glory;Defeat;Fluffy;Terizla;Fighter;1;Explane
22;Evos Glory;Defeat;Branz;Claude;Common;1;Goldlane
22;Evos Glory;Defeat;Dreams;Edith;Tank;1;Roamer
22;Evos Glory;Defeat;Anavel;Akai;Tank;1;Jungler
23;Fnatic Onic;Victory;Kairi;Julian;Mage;6;Jungler
23;Fnatic Onic;Victory;Sanz;Angela;Mage;2;Midlane
23;Fnatic Onic;Victory;Cw;Claude;Common;2;Goldlane
23;Fnatic Onic;Victory;Kiboy;Edith;Tank;1;Roamer
23;Fnatic Onic;Victory;Lutpiii;Cici;Fighter;3;Explane
23;Evos Glory;Defeat;Clawkun;Nana;Mage;2;Midlane
23;Evos Glory;Defeat;Fluffy;Ruby;Fighter;2;Explane
23;Evos Glory;Defeat;Branz;Roger;Assasin;0;Goldlane
23;Evos Glory;Defeat;Dreams;Tigreal;Tank;0;Roamer
23;Evos Glory;Defeat;Anavel;Ling;Assasin;1;Jungler
24;Evos Glory;Defeat;Clawkun;Novaria;Mage;0;Midlane
24;Evos Glory;Defeat;Fluffy;Esmeralda;Support;2;Explane
24;Evos Glory;Defeat;Branz;Roger;Assasin;2;Goldlane
24;Evos Glory;Defeat;Dreams;Ruby;Tank;0;Roamer
24;Evos Glory;Defeat;Anavel;Baxia;Tank;3;Jungler
24;Geek Fam;Victory;Reyy;Fredrinn;Tank;4;Jungler
24;Geek Fam;Victory;Luke;Masha;Assasin;7;Explane
24;Geek Fam;Victory;Aboy;Luo Yi;Mage;5;Midlane
24;Geek Fam;Victory;Baloyskie;Edith;Tank;2;Roamer
24;Geek Fam;Victory;Caderaa;Claude;Common;3;Goldlane
25;Evos Glory;Victory;Clawkun;Valentina;Mage;2;Midlane
25;Evos Glory;Victory;Fluffy;Xborg;Tank;0;Explane
25;Evos Glory;Victory;Branz;Roger;Assasin;3;Goldlane
25;Evos Glory;Victory;Dreams;Chip;Tank;3;Roamer
25;Evos Glory;Victory;Anavel;Lancelot;Assasin;7;Jungler
25;Geek Fam;Defeat;Reyy;Fredrinn;Tank;0;Jungler
25;Geek Fam;Defeat;Luke;Yu Zhong;Fighter;0;Explane
25;Geek Fam;Defeat;Aboy;Faramis;Mage;1;Midlane
25;Geek Fam;Defeat;Baloyskie;Minotaur;Tank;1;Roamer
25;Geek Fam;Defeat;Caderaa;Claude;Common;0;Goldlane
26;Evos Glory;Defeat;Clawkun;Vexana;Mage;0;Midlane
26;Evos Glory;Defeat;Fluffy;Masha;Assasin;5;Explane
26;Evos Glory;Defeat;Branz;Roger;Assasin;2;Goldlane
26;Evos Glory;Defeat;Dreams;Tigreal;Tank;0;Roamer
26;Evos Glory;Defeat;Anavel;Alpha;Fighter;3;Jungler
26;Geek Fam;Victory;Reyy;Fredrinn;Tank;3;Jungler
26;Geek Fam;Victory;Luke;Lapu-Lapu;Fighter;4;Explane
26;Geek Fam;Victory;Aboy;Luo Yi;Mage;7;Midlane
26;Geek Fam;Victory;Baloyskie;Ruby;Tank;0;Roamer
26;Geek Fam;Victory;Caderaa;Claude;Common;2;Goldlane
27;Evos Glory;Victory;Clawkun;Novaria;Mage;8;Midlane
27;Evos Glory;Victory;Fluffy;Yu Zhong;Fighter;6;Explane
27;Evos Glory;Victory;Branz;Moskov;Common;3;Goldlane
27;Evos Glory;Victory;Dreams;Minotaur;Tank;0;Roamer
27;Evos Glory;Victory;Anavel;Fredrinn;Tank;1;Jungler
27;Geek Fam;Defeat;Reyy;Ling;Assasin;5;Jungler
27;Geek Fam;Defeat;Luke;Barats;Common;1;Explane
27;Geek Fam;Defeat;Aboy;Luo Yi;Mage;4;Midlane
27;Geek Fam;Defeat;Baloyskie;Ruby;Tank;2;Roamer
27;Geek Fam;Defeat;Caderaa;Claude;Common;2;Goldlane
28;Evos Glory;Victory;Clawkun;Novaria;Mage;1;Midlane
28;Evos Glory;Victory;Fluffy;Terizla;Fighter;1;Explane
28;Evos Glory;Victory;Branz;Claude;Common;10;Goldlane
28;Evos Glory;Victory;Dreams;Chip;Tank;0;Roamer
28;Evos Glory;Victory;Anavel;Nolan;Assasin;6;Jungler
28;Geek Fam;Defeat;Reyy;Fredrinn;Tank;2;Jungler
28;Geek Fam;Defeat;Luke;Chou;Tank;0;Explane
28;Geek Fam;Defeat;Aboy;Luo Yi;Mage;3;Midlane
28;Geek Fam;Defeat;Baloyskie;Helcurt;Assasin;3;Roamer
28;Geek Fam;Defeat;Caderaa;Roger;Assasin;9;Goldlane
29;Fnatic Onic;Victory;Kairi;Fredrinn;Tank;2;Jungler
29;Fnatic Onic;Victory;Sanz;Pharsa;Mage;3;Midlane
29;Fnatic Onic;Victory;Cw;Claude;Common;3;Goldlane
29;Fnatic Onic;Victory;Kiboy;Ruby;Tank;0;Roamer
29;Fnatic Onic;Victory;Lutpiii;Paquito;Fighter;0;Explane
29;Evos Glory;Defeat;Clawkun;Valentina;Mage;2;Midlane
29;Evos Glory;Defeat;Fluffy;Terizla;Fighter;7;Explane
29;Evos Glory;Defeat;Branz;Roger;Assasin;2;Goldlane
29;Evos Glory;Defeat;Dreams;Minotaur;Tank;0;Roamer
29;Evos Glory;Defeat;Anavel;Lancelot;Assasin;0;Jungler
30;Fnatic Onic;Victory;Kairi;Fanny;Assasin;3;Jungler
30;Fnatic Onic;Victory;Sanz;Pharsa;Mage;3;Midlane
30;Fnatic Onic;Victory;Cw;Roger;Assasin;7;Goldlane
30;Fnatic Onic;Victory;Kiboy;Edith;Tank;3;Roamer
30;Fnatic Onic;Victory;Lutpiii;Barats;Common;2;Explane
30;Evos Glory;Defeat;Clawkun;Valentina;Mage;3;Midlane
30;Evos Glory;Defeat;Fluffy;Terizla;Fighter;3;Explane
30;Evos Glory;Defeat;Branz;Karrie;Common;1;Goldlane
30;Evos Glory;Defeat;Dreams;Ruby;Tank;0;Roamer
30;Evos Glory;Defeat;Anavel;Nolan;Assasin;2;Jungler
31;Fnatic Onic;Victory;Kairi;Fredrinn;Tank;1;Jungler
31;Fnatic Onic;Victory;Sanz;Pharsa;Mage;1;Midlane
31;Fnatic Onic;Victory;Cw;Roger;Assasin;8;Goldlane
31;Fnatic Onic;Victory;Kiboy;Arlott;Common;0;Roamer
31;Fnatic Onic;Victory;Lutpiii;Masha;Assasin;9;Explane
31;Evos Glory;Defeat;Clawkun;Valentina;Mage;4;Midlane
31;Evos Glory;Defeat;Fluffy;Terizla;Fighter;1;Explane
31;Evos Glory;Defeat;Branz;Karrie;Common;0;Goldlane
31;Evos Glory;Defeat;Dreams;Minotaur;Tank;1;Roamer
31;Evos Glory;Defeat;Anavel;Ling;Assasin;5;Jungler
32;Fnatic Onic;Defeat;Kairi;Ling;Assasin;1;Jungler
32;Fnatic Onic;Defeat;Sanz;Angela;Mage;1;Midlane
32;Fnatic Onic;Defeat;Cw;Cici;Support;1;Goldlane
32;Fnatic Onic;Defeat;Kiboy;Ruby;Tank;0;Roamer
32;Fnatic Onic;Defeat;Lutpiii;Terizla;Fighter;2;Explane
32;Evos Glory;Victory;Clawkun;Faramis;Mage;2;Midlane
32;Evos Glory;Victory;Fluffy;Paquito;Fighter;5;Explane
32;Evos Glory;Victory;Branz;Roger;Assasin;8;Goldlane
32;Evos Glory;Victory;Dreams;Franco;Support;0;Roamer
32;Evos Glory;Victory;Anavel;Fredrinn;Tank;2;Jungler
33;Fnatic Onic;Defeat;Kairi;Nolan;Assasin;0;Jungler
33;Fnatic Onic;Defeat;Sanz;Valentina;Mage;0;Midlane
33;Fnatic Onic;Defeat;Cw;Roger;Assasin;1;Goldlane
33;Fnatic Onic;Defeat;Kiboy;Grock;Tank;0;Roamer
33;Fnatic Onic;Defeat;Lutpiii;Uranus;Common;0;Explane
33;Evos Glory;Victory;Clawkun;Faramis;Mage;1;Midlane
33;Evos Glory;Victory;Fluffy;Xborg;Tank;3;Explane
33;Evos Glory;Victory;Branz;Beatrix;Assasin;4;Goldlane
33;Evos Glory;Victory;Dreams;Franco;Support;2;Roamer
33;Evos Glory;Victory;Anavel;Fredrinn;Tank;1;Jungler
34;Fnatic Onic;Victory;Kairi;Baxia;Tank;2;Jungler
34;Fnatic Onic;Victory;Sanz;Gord;Mage;0;Midlane
34;Fnatic Onic;Victory;Cw;Claude;Common;1;Goldlane
34;Fnatic Onic;Victory;Kiboy;Angela;Support;0;Roamer
34;Fnatic Onic;Victory;Lutpiii;Cici;Fighter;7;Explane
34;Evos Glory;Defeat;Clawkun;Valentina;Mage;2;Midlane
34;Evos Glory;Defeat;Fluffy;Xborg;Tank;0;Explane
34;Evos Glory;Defeat;Branz;Karrie;Common;0;Goldlane
34;Evos Glory;Defeat;Dreams;Kaja;Support;0;Roamer
34;Evos Glory;Defeat;Anavel;Fredrinn;Tank;0;Jungler
